province,type_of_dwelling,income,marital_status,age_group,sex,food_expenditure,clothing_expenditure,transportation_expenditure,personal_care_expenditure,recreation_expenditure,tobacco_alcohol_expenditure,miscellaneous_expenditure,total_consumption_expenditure,total_expenditure,weeks_worked
NB,single_detached,45000,married,30-34,male,9430,1145,32518,1517,4737,1449,90,75095,79979,52
NB,single_detached,28000,married,45-49,male,6240,1460,20800,760,1600,1800,466,45770,52094,52
NB,single_detached,39000,married,50-54,male,6200,3200,9112,1369,1575,100,2370,43105,61369,46
NB,single_detached,22000,never_married,<25,male,6100,1900,3536,1010,4560,240,1727,50858,53942,26
NB,single_detached,64000,married,50-54,male,8400,2220,5692,2200,2297,150,540,48786,70636,52
NB,single_detached,52000,never_married,30-34,male,1820,501,14734,170,520,240,1405,37315,52242,52
NB,row_house,45000,married,60-64,female,7300,3261,10387,1360,1763,2860,2125,47364,52294,52
NB,single_detached,60000,married,30-34,male,4410,1000,4495,525,8275,125,80,37740,52153,52
NB,single_detached,73000,never_married,45-49,female,3770,1010,4493,590,1694,180,30,29534,53134,52
NB,single_detached,54000,married,30-34,male,11100,2180,5061,1140,3480,3025,255,59025,79785,52
NB,single_detached,33000,married,<25,male,7250,300,7460,1190,3299,400,1676,47252,58968,36
NB,single_detached,13000,married,35-39,female,11660,2357,6182,1685,3017,46,192,48204,61345,52
NB,single_detached,64000,married,30-34,male,6180,1790,13190,2270,2145,5300,1620,55972,76262,52
NB,single_detached,37000,never_married,<25,female,5200,1057,2909,520,1770,3040,440,37597,38241,46
NB,single_detached,33000,married,45-49,male,10000,5100,7845,2700,3030,1300,600,54071,68702,52
NB,single_detached,38000,married,40-44,female,10800,3810,7570,1718,7593,3110,1153,66370,90470,52
NB,duplex,60000,other,40-44,male,6600,1325,13089,630,805,2195,140,44161,68793,52
NB,semi_detached,50000,married,25-29,male,3880,1180,6049,380,2425,550,1000,41053,71864,52
NB,apartment,26000,other,65-69,female,2700,350,1100,115,1060,70,10,14646,19979,50
NB,apartment,40000,other,35-39,male,3000,1520,4980,560,2260,2900,1128,44218,57077,26
NB,single_detached,72000,other,55-59,female,4520,1600,6075,805,2010,3000,1712,31196,54965,52
NB,single_detached,51000,married,30-34,male,7160,1130,21528,1120,2874,1080,240,69907,95628,52
NB,apartment,85000,never_married,45-49,male,3795,1070,22623,220,1912,4400,1100,47918,73558,52
NB,single_detached,20000,married,35-39,female,7600,1400,5268,925,5922,710,539,53470,60397,52
NB,apartment,20000,other,45-49,female,2640,1310,3808,414,1523,30,48,21416,26154,52
NB,apartment,48000,never_married,25-29,female,2000,1525,2955,500,920,5,20,21713,37493,52
NB,apartment,43000,married,35-39,male,9840,2820,7030,1870,3549,240,375,44010,51660,50
NB,apartment,16000,never_married,25-29,male,1120,1369,4935,840,2019,1020,280,26487,31523,52
NB,apartment,30000,never_married,45-49,male,7480,814,3060,272,3510,780,160,29822,44113,52
NB,apartment,50000,never_married,<25,female,6400,6260,4450,1950,1173,0,730,38536,51372,52
NB,apartment,34000,married,25-29,male,8700,3445,7250,1165,2702,1300,510,57337,67627,52
NB,semi_detached,38000,married,35-39,male,5200,850,18544,570,3627,240,144,45933,56321,52
NB,duplex,79000,other,55-59,female,6285,1889,5780,1960,4190,0,762,46157,74206,52
NB,apartment,27000,never_married,25-29,male,6600,1800,5641,670,2440,1365,200,32335,50610,50
NB,single_detached,43000,married,45-49,female,4600,2520,2889,1570,2922,300,50,35242,66092,52
NB,row_house,58000,never_married,30-34,male,4000,600,35980,120,1070,100,40,54609,80673,52
NB,apartment,54000,married,50-54,female,6700,1400,4385,1370,1696,855,1900,35759,67922,52
NB,single_detached,55000,never_married,40-44,female,10130,2901,1070,1187,3698,1296,946,48134,55963,48
NB,apartment,20000,other,45-49,female,6530,1595,120,670,1380,1060,244,23901,28301,52
NB,single_detached,20000,other,45-49,female,2040,306,2242,385,880,6150,504,31168,52234,52
NB,single_detached,20000,married,60-64,male,5400,1700,2570,950,2459,105,455,37757,54657,52
NB,single_detached,55000,married,40-44,male,5900,1550,15352,860,2846,250,560,51308,80078,52
NB,single_detached,42000,married,35-39,male,5700,2612,4737,990,4518,0,296,41508,78497,52
NB,single_detached,30000,other,60-64,female,1850,840,540,225,950,0,380,19929,27641,52
NB,single_detached,40000,married,45-49,female,401,3200,6602,600,1672,6600,350,33576,42824,30
NB,single_detached,55000,married,45-49,female,9250,1805,5100,950,1669,150,1600,37139,78933,52
NB,row_house,80000,married,45-49,female,4700,1750,5830,495,5600,200,200,29055,60140,20
NB,row_house,25000,never_married,35-39,female,8520,4940,320,1600,916,644,500,29673,27675,24
NB,single_detached,25000,other,25-29,female,4000,1300,4290,340,1350,110,140,28245,31985,52
NB,apartment,26000,never_married,45-49,female,5460,925,3202,670,1063,70,300,22367,27785,46
NB,other,43000,other,60-64,female,4300,1725,1935,650,1331,2880,110,21911,40782,52
NB,row_house,16000,married,25-29,male,8748,1895,960,995,4660,996,120,27162,30399,52
NB,single_detached,38000,married,60-64,male,3400,2800,8920,1665,2335,4840,360,43011,51822,36
NB,single_detached,7500,married,40-44,male,7360,1675,1618,2316,1319,1300,534,33297,32902,44
NB,single_detached,6000,married,25-29,female,6540,7850,6880,2075,6200,3100,1600,63177,97508,25
NB,single_detached,73000,married,40-44,female,15000,3970,4106,2200,8655,300,1440,61421,98529,52
NB,single_detached,80000,married,40-44,male,7025,2600,5700,962,1662,4710,730,51483,77330,52
NB,single_detached,29000,married,30-34,male,4600,895,10804,600,4340,3440,840,47538,60183,52
NB,single_detached,98000,married,60-64,male,10520,7330,6650,1535,2150,0,670,62585,89434,52
NB,single_detached,35000,other,45-49,female,3843,710,24597,487,1319,0,150,43921,51541,52
NB,semi_detached,51000,married,25-29,female,10866,5715,6440,2165,5885,5800,1360,66290,80214,52
NB,apartment,22000,married,50-54,female,4200,845,7577,337,624,1630,684,30217,38389,52
NB,apartment,12000,never_married,<25,male,2400,455,90,675,1230,400,390,18230,18686,16
NB,row_house,61000,other,60-64,female,3800,550,1950,300,35,600,300,20790,40648,42
NB,single_detached,30000,other,60-64,female,6880,309,11154,1217,1454,2506,288,40660,56385,52
NB,single_detached,2000,married,50-54,male,7200,1220,8757,450,3744,360,200,49449,50398,52
NB,single_detached,23000,married,<25,male,2605,1080,34780,800,5199,675,60,60255,73262,16
NB,apartment,29000,married,25-29,female,5730,8660,12288,950,562,2729,1600,49756,63022,52
NB,single_detached,32000,married,50-54,male,2730,1843,9473,945,156,150,986,41911,65271,40
NB,apartment,30000,married,45-49,female,3200,1863,3476,410,3188,40,378,27705,40212,52
NB,single_detached,39000,married,25-29,female,10180,2370,12102,1445,1960,820,1130,65959,89619,32
NB,single_detached,24000,married,40-44,male,8940,1000,4847,550,1418,0,316,46113,51942,52
NB,row_house,72000,other,55-59,female,5200,2900,6996,880,1354,650,103,46341,66908,28
NB,other,10000,married,50-54,female,5520,1000,2190,150,1035,3540,80,29482,43689,26
NB,single_detached,60000,married,40-44,female,11000,2352,3425,1100,1750,0,120,40717,82157,52
NB,single_detached,24000,married,45-49,male,6010,400,3690,725,1368,2080,172,32722,41047,36
NB,other,18000,married,<25,female,5000,590,5440,500,1550,510,20,21631,25253,52
NB,single_detached,50000,never_married,25-29,female,4554,2085,5003,976,2645,1486,2565,41394,55214,52
NB,single_detached,39000,married,40-44,female,14400,2400,5804,730,3372,4040,230,46550,79847,52
NB,single_detached,50000,married,30-34,male,7140,830,6170,595,3084,3156,225,40721,55045,52
NB,single_detached,31000,married,50-54,male,2800,420,12067,140,994,6435,105,37428,51222,52
NB,single_detached,18000,other,45-49,female,5300,3600,4405,240,680,900,600,27988,41204,52
NB,single_detached,36000,married,35-39,male,8780,699,6501,370,1236,4224,130,35407,47041,52
NB,single_detached,44000,married,40-44,female,8080,810,17637,1475,633,410,1320,59866,83928,52
NB,single_detached,60000,married,35-39,male,10920,1300,3700,1140,4130,2340,440,47062,59242,52
NB,single_detached,32000,married,45-49,male,7850,2600,26377,1350,3540,1450,848,73498,95471,52
NB,single_detached,65000,married,50-54,female,10788,3011,10189,738,2380,620,775,53316,82706,52
NB,apartment,20000,never_married,<25,female,2530,705,430,330,2640,680,156,20271,21947,52
NB,apartment,83000,never_married,40-44,male,4200,1000,8318,1140,4771,1850,920,35548,73997,52
NB,duplex,18000,never_married,25-29,male,5800,1035,8605,1190,3245,3582,496,43453,47400,28
NB,apartment,19000,never_married,40-44,female,3000,1140,1868,785,110,4160,29,19474,19618,52
NB,single_detached,40000,never_married,30-34,female,2880,2050,3264,645,1288,1088,255,31370,43228,52
NB,single_detached,50000,married,45-49,male,8600,8600,12773,1150,5223,1200,1748,65571,79769,52
NB,duplex,9400,never_married,<25,male,4210,3315,4290,1290,7708,1005,190,33309,41061,23
NB,single_detached,17000,married,25-29,female,6410,435,9931,190,818,4492,20,36547,43711,36
NB,single_detached,82000,other,50-54,female,3200,1690,7442,715,2560,1500,285,43556,68387,52
NB,single_detached,21000,never_married,<25,male,1000,110,2890,245,1547,685,35,14293,18393,49
NB,single_detached,33000,never_married,<25,male,17480,1220,6768,610,3957,15140,100,66855,78899,52
NB,single_detached,60000,other,55-59,female,8200,2100,9650,1070,6050,3800,940,61590,70154,52
NB,apartment,44000,married,<25,male,3630,2040,6140,735,4760,400,960,37075,48660,52
NB,single_detached,21000,married,55-59,male,13800,5220,3385,2500,1810,3400,300,63115,77271,52
NB,semi_detached,46000,married,25-29,female,5910,930,7548,600,5790,720,1178,42377,68993,52
NB,single_detached,62000,married,35-39,male,6760,868,5443,757,4063,1380,1001,42720,64138,52
NB,duplex,25000,married,60-64,female,5640,1240,12321,660,740,0,197,31750,37950,45
NB,single_detached,70000,married,35-39,female,5600,925,4748,360,2498,100,876,47777,85685,46
NB,single_detached,58000,other,45-49,female,4680,2100,7226,1020,2360,340,2265,40048,67545,52
NB,single_detached,45000,married,25-29,male,7350,2610,9418,1410,3340,1760,894,55708,67596,30
NB,row_house,12000,married,50-54,female,5360,1700,9848,2000,5330,1250,1420,47648,68800,52
NB,row_house,64000,other,50-54,female,3870,865,9131,1402,1011,40,1169,33100,62379,52
NB,row_house,26000,married,50-54,female,2380,2330,8010,535,2536,3600,260,38835,51830,52
NB,single_detached,25000,married,<25,male,7500,1275,10900,1000,8540,250,1480,58795,76254,52
NB,single_detached,35000,married,30-34,male,5380,1305,6025,1189,4084,3900,1560,39005,62787,52
NB,single_detached,38000,married,60-64,male,6910,3790,3170,1430,3594,600,409,35576,53266,52
NB,apartment,27000,married,25-29,male,3120,2560,9720,850,2860,1205,746,35816,54490,43
NB,single_detached,32000,married,30-34,female,6720,2940,5702,742,3515,20,133,36434,51694,52
NB,row_house,46000,other,45-49,female,5730,1300,6390,1740,1910,4815,1070,47666,60983,52
NB,apartment,47000,married,25-29,female,8750,4515,6411,1300,7411,60,465,48519,64000,52
NB,apartment,13000,married,<25,female,3035,964,2223,1960,2891,5960,349,30787,34004,20
NB,single_detached,27000,married,25-29,female,16230,5430,5740,2820,6852,940,860,55742,63798,52
NB,single_detached,82000,married,30-34,male,7000,1102,5380,590,1039,1300,1232,50843,94062,52
NB,single_detached,42000,married,45-49,male,12230,1570,16056,2200,2918,5160,615,67420,78395,52
NB,single_detached,68000,married,30-34,male,13700,900,7097,360,2620,2240,2248,46862,82985,52
NB,single_detached,30000,married,40-44,female,7900,430,4830,230,596,1288,1179,30778,46214,52
NB,other,26000,married,55-59,female,11100,1940,11314,260,3647,1000,242,46110,58279,32
NB,other,32000,married,50-54,male,6309,400,10190,215,676,5170,399,38001,42825,52
NB,other,37000,married,25-29,female,6025,1480,38649,1875,5687,300,168,73805,96122,32
NB,single_detached,31000,married,<25,female,5580,1500,15198,548,3406,5695,2110,73979,90930,52
NB,single_detached,25000,married,25-29,female,3700,2270,6917,1845,2174,1705,190,45966,57891,46
NB,single_detached,22000,married,60-64,female,5150,1200,1338,400,2662,1800,131,26845,29377,26
NB,single_detached,19000,married,55-59,female,4000,1840,5318,1200,2579,0,100,36468,54825,52
NB,single_detached,27000,married,45-49,female,12704,8340,11260,2216,6913,3940,70,64942,95295,52
NB,single_detached,38000,never_married,30-34,male,6136,1145,1404,1260,1702,1960,429,28404,35968,52
NB,single_detached,73000,married,25-29,male,10870,1742,17940,418,2952,1700,2880,57981,81553,51
NB,single_detached,16000,married,35-39,female,8000,1460,27530,1090,5276,46,195,57869,71646,52
NB,other,24000,never_married,<25,female,4800,380,6990,516,2525,360,148,33096,34427,52
NB,single_detached,76000,other,50-54,female,7600,1785,2756,1060,984,2100,1110,50373,86992,52
NB,duplex,56000,never_married,45-49,male,7000,3950,4024,1404,3211,1320,1376,56530,77536,52
NB,single_detached,26000,married,45-49,female,6300,1110,3292,705,3578,2780,252,42725,56263,52
NB,duplex,45000,never_married,30-34,female,3770,2500,5983,1550,1401,3300,256,41374,55899,52
NB,single_detached,31000,married,45-49,female,5000,2050,23920,2150,990,4220,1241,66544,88556,52
NB,single_detached,45000,married,45-49,male,11500,2290,7018,1890,9828,90,915,64751,94976,52
masked,single_detached,51000,married,25-29,male,10900,950,9314,755,2678,10350,192,48439,67187,39
NB,single_detached,35000,married,45-49,male,7000,1229,3109,955,920,0,704,29461,45450,52
NB,single_detached,60000,married,30-34,male,9572,2815,3445,770,3916,990,850,53457,86265,18
NB,single_detached,68000,married,35-39,male,4515,1217,6167,1226,6187,2465,134,53569,68041,52
NB,single_detached,61000,married,35-39,male,9600,2850,5225,1970,5308,1550,319,55684,74345,52
NB,single_detached,37000,married,50-54,male,9000,1280,4476,790,1170,1040,120,34507,50284,52
NB,single_detached,33000,married,55-59,male,3400,510,3671,455,1210,0,120,17291,30763,32
NB,single_detached,19000,married,40-44,male,6780,1415,9635,630,3667,2440,620,45871,49554,26
NB,single_detached,30000,married,40-44,female,7330,2980,19483,1115,3445,1900,1447,61642,78771,52
NB,single_detached,49000,other,40-44,female,9842,1300,3464,840,1452,1152,286,41726,48246,52
NB,single_detached,47000,other,40-44,female,11340,4970,17123,1570,8931,100,640,82484,91254,52
NB,other,28000,married,<25,female,7220,2241,16463,2160,2116,1080,1533,53276,60326,52
NB,single_detached,45000,married,<25,female,5600,2960,19512,930,3034,8924,1930,54327,67945,52
NB,single_detached,40000,married,30-34,female,12760,3670,20200,1165,9307,100,510,70529,97979,52
NB,single_detached,30000,married,30-34,male,10120,3075,9738,4330,2760,1280,810,59365,63987,26
NB,single_detached,53000,married,60-64,male,5200,2880,5840,660,597,2080,2400,36962,53162,52
NB,single_detached,25000,married,50-54,female,10420,3050,6338,1260,2430,5380,340,46946,77550,52
NB,single_detached,58000,other,55-59,female,7200,1900,4084,1010,3842,0,380,28129,48829,52
NB,single_detached,17000,married,60-64,female,5500,570,20374,888,1075,0,230,48636,52158,52
NB,single_detached,30000,other,40-44,male,2600,860,100,1100,1150,5200,345,21776,30194,52
NB,single_detached,16000,married,50-54,female,15650,1125,18012,1590,3030,2200,120,63672,70912,52
NB,single_detached,44000,married,50-54,male,8500,3020,5140,870,4020,0,1280,38984,56284,30
NB,single_detached,63000,other,30-34,male,4224,940,5985,180,3565,2800,292,38784,55684,40
NB,single_detached,34000,married,40-44,male,9720,2550,7814,1030,3910,2000,1130,55944,75254,20
NB,single_detached,16000,other,55-59,female,1610,200,5318,160,100,0,242,16140,16721,36
NB,single_detached,27000,other,60-64,female,3500,1102,1200,1200,1930,1872,160,24043,29065,40
NB,single_detached,80000,married,60-64,male,9020,2850,27445,1390,4056,463,160,67875,72078,48
NB,single_detached,18000,married,40-44,male,9400,4100,7167,1040,711,1540,1202,41867,46277,36
NB,single_detached,30000,married,55-59,female,5850,775,2491,310,1620,225,292,25908,36021,52
NB,single_detached,21000,other,50-54,male,4704,137,2740,251,139,2930,179,19056,24158,26
NB,single_detached,26000,never_married,25-29,female,8775,670,7796,782,780,1216,403,26758,32440,26
NB,single_detached,36000,never_married,35-39,male,4860,680,2821,330,6608,130,259,33170,39866,52
NB,apartment,36000,other,45-49,female,4950,2475,2405,1195,7925,1000,220,33417,43150,49
NB,single_detached,32000,married,50-54,female,6200,2000,3229,2990,2560,20,1244,35233,45820,52
NB,single_detached,44000,married,40-44,male,17100,5335,15582,2660,8910,300,750,74252,83618,52
NB,single_detached,43000,married,50-54,female,10200,8650,4699,2600,4788,3100,960,61533,90551,52
NB,other,12000,married,50-54,male,6240,1520,5150,565,500,22,120,22730,34226,17
NB,duplex,24000,married,30-34,female,7325,4450,2295,1925,3300,1000,210,38627,54112,45
NB,single_detached,31000,married,55-59,female,6100,2675,5365,1690,2109,2682,995,40399,57970,52
NB,single_detached,16000,married,50-54,female,13820,2660,15835,2750,2059,3750,1531,68064,95241,52
NB,single_detached,28000,married,50-54,male,4800,1000,9991,870,936,6770,80,52028,55362,52
NB,single_detached,20000,other,50-54,male,4800,600,5933,55,270,7800,490,27810,32569,26
NB,single_detached,36000,married,40-44,male,5440,260,3031,364,1784,0,203,29519,37867,52
NB,single_detached,50000,married,35-39,male,5700,4650,6080,520,3980,500,120,45794,60161,52
NB,single_detached,33000,married,60-64,male,5100,415,8125,636,1195,1200,300,28390,40767,40
NB,single_detached,29000,married,55-59,female,4340,2000,8881,1255,993,4244,1367,37957,60605,52
NB,apartment,40000,married,40-44,female,2800,2470,20622,450,1390,200,120,41280,49934,52
NB,single_detached,33000,married,55-59,female,6980,695,4459,385,5407,296,1558,34612,55813,22
NB,single_detached,40000,married,45-49,male,10300,2050,6399,1040,3841,3510,794,54883,80883,52
NB,single_detached,24000,other,55-59,female,4560,910,2849,1185,956,0,228,17370,24917,52
NB,single_detached,30000,other,35-39,female,2650,1800,2630,775,2680,0,180,18167,25767,52
NB,single_detached,52000,married,55-59,male,8204,1810,8210,508,3475,5748,92,43879,70629,52
NB,single_detached,42000,married,45-49,female,7860,3650,9370,4865,1615,3170,1934,63264,91664,52
NB,single_detached,30000,married,50-54,male,2440,2265,4480,930,791,0,348,38919,46760,52
NB,single_detached,70000,married,35-39,male,15000,3790,4437,745,3960,1220,854,41553,57600,52
NB,single_detached,76000,married,45-49,male,6100,3800,5620,3050,3060,600,800,40161,77485,52
NB,single_detached,25000,married,55-59,female,3800,2465,3400,960,2410,2910,596,27670,43995,26
NB,single_detached,30000,married,45-49,female,8500,5050,31200,2700,3290,2550,787,78193,96617,52
NB,semi_detached,18000,other,65-69,male,3100,80,885,275,160,50,317,19050,21350,52
NB,single_detached,26000,other,55-59,female,3890,370,22990,830,850,200,190,44452,47377,52
NB,single_detached,40000,never_married,30-34,female,2760,510,2050,648,2052,3130,568,28455,39693,52
NB,single_detached,65000,other,45-49,male,3670,1485,4548,320,4661,1718,511,37473,65568,30
NB,single_detached,50000,married,50-54,male,3940,4030,5697,1650,5641,500,234,46688,70224,52
NB,single_detached,23000,married,35-39,male,6575,2685,10460,2875,6516,1604,540,60294,83799,52
NB,single_detached,55000,married,45-49,male,7120,1740,17240,1633,2641,2700,539,55640,75199,52
NB,apartment,23000,married,40-44,male,4000,580,1940,925,720,400,650,18625,21585,52
NB,single_detached,54000,never_married,35-39,male,4512,795,4872,778,1028,250,477,33700,48005,52
NB,single_detached,45000,married,55-59,male,6200,900,4266,1800,1940,1660,25,36569,69059,52
NB,single_detached,35000,married,45-49,male,8300,3210,8490,1090,980,7725,1010,54897,70029,17
NB,apartment,32000,married,45-49,male,3960,1425,5070,1554,2336,0,280,33610,48278,26
NB,apartment,19000,married,55-59,female,10436,1205,2436,1230,1404,50,128,27351,35660,52
NB,apartment,42000,married,45-49,male,12000,1380,10236,942,2658,4820,495,50167,58427,48
NB,single_detached,19000,never_married,30-34,female,9250,2110,6270,1190,2615,800,700,55620,64985,38
NB,single_detached,51000,other,35-39,female,8500,2005,5800,290,5100,120,230,34722,42509,52
NB,single_detached,14000,married,55-59,female,5580,180,4370,190,745,1940,172,23789,31892,26
NB,single_detached,50000,married,30-34,female,6680,2775,8774,1735,3585,250,1139,53509,75488,39
NB,single_detached,51000,other,50-54,female,4500,1920,2454,2150,931,50,1055,21476,29255,52
masked,single_detached,10000,married,50-54,male,7010,4750,11718,1650,1170,0,1000,46869,71769,52
NB,apartment,23000,other,50-54,female,4380,885,20215,670,1454,985,82,38869,42789,52
NB,single_detached,21000,married,35-39,female,11840,780,10234,1220,4916,5785,1862,57978,81995,23
NB,single_detached,36000,married,60-64,male,5600,2681,6959,695,869,0,314,30059,42687,52
NB,single_detached,65000,married,40-44,male,6000,3300,11689,1580,2638,3100,1269,49550,79294,52
NB,single_detached,68000,other,45-49,female,2390,4100,5695,2090,4310,2555,785,32564,79026,52
NB,apartment,25000,married,50-54,male,5300,3450,9901,1700,2680,1500,595,45566,55268,24
NB,single_detached,28000,married,45-49,male,6400,3220,5394,1120,2230,0,200,30219,39054,52
NB,single_detached,36000,married,30-34,male,9760,1825,9180,580,3955,0,2396,49826,63662,16
NB,single_detached,28000,married,55-59,female,8500,2106,5981,1398,2718,1605,1226,46962,47762,52
NB,single_detached,66000,married,55-59,male,7000,6910,14989,1350,3042,2000,1600,65530,85976,52
NB,single_detached,30000,married,60-64,male,6200,2975,10173,930,2275,1120,229,45150,54252,19
NB,single_detached,17000,married,40-44,female,6990,4645,3918,1013,2810,990,440,32943,34202,18
NB,single_detached,39000,married,35-39,male,6400,3520,5930,1325,2720,0,576,48006,55531,40
NB,other,33000,married,60-64,male,3940,2645,3135,1230,2160,0,292,22547,33878,52
NB,single_detached,26000,never_married,40-44,male,3380,1440,4560,240,6005,350,244,23680,29642,52
NB,other,28000,married,35-39,male,6120,1675,12081,440,4311,300,60,45737,54390,29
NB,single_detached,40000,married,55-59,male,5320,1770,9168,162,6861,7410,295,44202,59106,31
NB,apartment,30000,other,45-49,female,6740,1729,2862,1529,3112,0,800,29908,30812,16
NB,single_detached,21000,other,60-64,female,5930,840,5110,355,726,100,1810,23685,30355,52
NB,single_detached,31000,married,50-54,male,11500,2345,6930,1270,6609,1860,379,56881,61771,52
NB,single_detached,23000,married,30-34,male,5040,1100,2488,370,870,150,220,24923,32027,52
NB,single_detached,30000,married,55-59,male,5200,3250,2580,1094,8770,2000,200,37546,48046,52
NB,single_detached,46000,other,50-54,female,4800,2200,26740,1825,834,1824,349,68735,81637,52
NB,single_detached,15000,married,60-64,female,3960,820,4250,450,700,2890,1200,23019,39451,52
NB,other,29000,married,30-34,male,4535,343,8098,1100,1122,530,762,31236,37369,52
NB,single_detached,43000,married,50-54,female,6990,1125,5037,275,2295,20,353,34744,45707,52
NB,single_detached,29000,married,45-49,female,4500,2820,8655,660,1162,2650,840,30012,48652,45
NB,single_detached,21000,married,<25,female,4510,250,13112,190,1117,360,10,28243,37839,52
NB,single_detached,32000,married,30-34,male,10900,2800,11520,2560,1060,2160,1284,56974,76914,52
NB,single_detached,43000,married,35-39,female,16600,2865,17823,1900,7740,2620,565,67878,84277,52
NB,single_detached,26000,married,40-44,male,3500,2115,21178,1140,4630,3320,978,52745,63045,52
NB,single_detached,30000,married,50-54,male,3990,1300,8050,810,2300,3660,1450,41055,64090,52
NB,single_detached,20000,married,40-44,male,7440,1380,17882,375,1649,5300,750,47502,61572,34
NB,single_detached,89000,married,55-59,male,7620,2050,9156,1060,1922,1400,665,38858,77964,35
NB,single_detached,54000,married,55-59,male,9100,6125,10634,2000,6947,2340,924,65884,89284,26
NB,single_detached,52000,married,25-29,female,6360,5220,5566,1310,3017,1340,778,61019,83185,52
NB,single_detached,49000,married,35-39,male,2650,990,6920,355,4801,300,264,34115,46877,36
NB,single_detached,27000,married,40-44,female,5730,2000,9710,1510,7670,1130,780,47906,66918,52
NB,single_detached,54000,married,50-54,male,5100,1670,8462,830,3735,1000,1518,46728,85029,52
NB,single_detached,36000,married,60-64,male,3420,455,2041,525,421,0,40,14257,23697,18
NB,single_detached,24000,married,35-39,female,8932,240,5006,226,1130,604,330,28439,29506,16
NB,single_detached,18000,married,40-44,female,6420,6415,18048,2000,3350,140,229,60498,71117,19
NB,single_detached,26000,never_married,35-39,male,3600,2000,3480,90,2281,0,309,21714,25704,20
NB,single_detached,30000,married,45-49,male,16090,2500,8236,1985,1819,50,771,53906,63326,16
NB,single_detached,30000,married,55-59,male,6640,1074,4785,1442,508,0,350,25700,30230,18
NB,single_detached,44000,married,50-54,male,9500,8800,8805,2695,2955,550,795,49862,91611,16
NB,single_detached,19000,married,60-64,male,5870,1070,10296,1500,5003,0,90,33939,38793,21
NB,single_detached,63000,married,40-44,male,6120,2835,8264,690,5516,70,764,48354,66833,36
NB,single_detached,21000,married,50-54,male,8300,3135,5345,1180,3458,6560,814,45699,51541,52
NB,single_detached,21000,other,50-54,female,8320,500,1280,226,408,60,855,16277,17803,26
NB,single_detached,65000,married,30-34,male,14000,2700,9212,1221,3233,1400,530,61262,86877,52
NB,apartment,94000,never_married,50-54,female,3550,1330,4876,1345,3227,755,2410,32438,73999,52
NB,apartment,28000,other,50-54,male,4040,410,3834,230,3031,1234,85,22870,29458,39
NB,single_detached,36000,married,35-39,male,6520,635,11440,524,1815,0,470,50025,59013,52
NB,apartment,15000,other,60-64,female,4538,274,40,248,1160,0,125,14548,16048,52
NB,single_detached,60000,married,40-44,male,11551,3355,6869,1430,4515,2950,1150,58534,82245,52
NB,semi_detached,23000,married,45-49,male,5400,700,4349,1105,2455,5400,438,36504,41490,24
NB,single_detached,72000,married,35-39,male,9480,2630,8116,970,4070,1080,745,55993,87874,52
NB,single_detached,62000,married,35-39,male,6000,1575,11645,600,6020,1560,1110,50649,84529,52
NB,single_detached,69000,married,35-39,male,7800,1550,2940,550,6005,1900,360,34790,61867,52
NB,single_detached,41000,other,35-39,male,6292,1420,5060,340,4518,530,194,43234,48566,40
NB,single_detached,69000,other,40-44,female,3500,2020,3175,650,795,0,458,36122,58503,52
NB,single_detached,50000,married,65-69,male,4320,590,3372,510,1436,480,600,31678,47651,52
NB,single_detached,81000,married,30-34,female,6290,1395,6193,1370,7055,50,928,64316,98603,52
NB,single_detached,40000,never_married,45-49,male,5300,1625,3740,675,2020,100,200,24140,34528,52
NB,single_detached,44000,married,60-64,male,18700,2095,6316,1540,1057,4100,261,49351,63561,42
NB,single_detached,54000,married,40-44,female,10000,2990,9189,1055,825,400,170,53479,70889,52
NB,single_detached,26000,other,55-59,male,2600,240,3493,175,820,1000,30,12943,17660,17
NB,single_detached,28000,married,45-49,male,7250,2390,25390,900,2126,7500,460,62731,89507,16
NB,single_detached,31000,married,55-59,female,6600,1946,12836,850,2350,0,350,32422,43784,52
NB,single_detached,35000,married,50-54,female,4500,950,32324,660,500,3800,1910,58921,87845,52
NB,single_detached,46000,married,55-59,male,7000,1760,5250,795,600,0,875,23770,40647,52
NB,single_detached,36000,married,40-44,male,9800,4260,7900,1510,4840,0,180,54303,75725,52
NB,row_house,16000,other,55-59,female,4000,500,1900,255,408,0,100,17831,23699,25
NB,single_detached,56000,married,50-54,female,6100,1645,2910,1540,6000,2200,907,36032,70010,52
NB,single_detached,98000,married,35-39,male,8700,1825,7710,1375,4299,1050,1743,57474,94473,52
NB,single_detached,38000,married,30-34,male,4980,1290,7455,1180,2559,0,300,39051,45886,52
NB,single_detached,48000,married,35-39,male,6530,1420,26791,1150,2745,200,1268,56162,75722,52
NB,single_detached,52000,married,45-49,male,14540,5075,10923,1540,7877,1040,1351,65825,98164,52
NB,single_detached,17000,other,55-59,male,5580,365,480,190,1236,50,642,19881,24275,18
NB,single_detached,61000,never_married,25-29,male,5285,1560,1212,535,4294,1340,364,24745,39499,50
NB,single_detached,60000,married,60-64,male,9100,1407,5800,1430,3285,830,426,52117,73945,52
NB,single_detached,36000,married,40-44,male,2700,210,2944,190,305,360,400,20654,26895,52
NB,single_detached,32000,other,50-54,female,4500,105,2779,128,305,664,35,16279,27965,52
